retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,price_per_litre,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-no-21-vodka-red-label-1l/101557043,101557043,Smirnoff No. 21 Vodka Red Label 1L,Smirnoff,18.5,,False,1L,1000.0,18.5,37.5,,United Kingdom,"exceptionally pure-tasting, smooth spirit",InStock,"Smirnoff No.21 - famously known as Red Label - is the world's favourite, most awarded and best-selling premium vodka. An exceptionally pure-tasting, smooth spirit with a clean palate, and the primary choice for a range of popular drinks. With countless years of heritage and unmatched quality, it is sold in over 130 countries. Founded in 1864, it gets triple distilled from a blend of different grains and filtered ten times through seven columns of environmentally sustainable charcoal for an exceptionally pure-tasting, smooth finish. Smirnoff No. 21 also makes a perfect aperitif such as the Espresso Martini - simply add 35ml Smirnoff, 25ml Espresso, 25ml coffee liquor, sugar syrup and cubed ice to a shaker and mix. Or if you prefer something more summery and refreshing, try 25 ml of Smirnoff, the citrus fruit juice of your choice, soda water, ice cubes in a highball glass and garnish with citrus fruit wedges. Smirnoff is ideal for making delicious drinks at home. As such a pure and versatile liquid, it is ideal for you to experiment and create your own cocktails. There is vodka, then there's Smirnoff.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:17Z
morrisons,vodka,https://groceries.morrisons.com/products/nickov-vodka-1l/113860808,113860808,Nickov Vodka  1L,NICKOV,17.5,,False,1L,1000.0,17.5,37.5,Bottle,France,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:18Z
morrisons,vodka,https://groceries.morrisons.com/products/morrisons-imperial-vodka/107205081,107205081,Morrisons Imperial Vodka ,Morrisons,14.25,,False,70cl,700.0,20.36,37.5,Bottle,France,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:19Z
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-ice-triple-filtered-vodka-ready-to-drink-premix/101553122,101553122,Smirnoff Ice Triple Filtered Vodka Ready to Drink Premix,Smirnoff,2.75,,False,70cl,700.0,3.93,4.0,Bottle,Italy,refreshing lemon,InStock,"Smooth Smirnoff No. 21 premium vodka mixed with the classic taste of refreshing lemon. A delightfully crisp, citrus taste, best poured directly into a tall glass over cubed ice and garnished with a lemon wedge.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:20Z
morrisons,vodka,https://groceries.morrisons.com/products/morrisons-imperial-vodka/107205057,107205057,Morrisons Imperial Vodka  ,Morrisons,7.25,,False,35cl,350.0,20.71,37.5,Bottle,France,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:21Z
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-ice-raspberry-4-vol-ready-to-drink-premix/112649234,112649234,Smirnoff Ice Raspberry 4% vol Ready To Drink Premix ,Smirnoff,2.75,,False,70cl,700.0,3.93,4.0,Bottle,Italy,taste of Raspberries,InStock,"Smirnoff Ice Raspberry is a vodka mixed drink with the taste of Raspberries. Using Smirnoff No. 21 premium vodka, a blend of red raspberry flavours complemented by a dry, crisp finish. Lightly carbonated, this drink has a tangy kick with a refreshing taste.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:23Z
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-no-21-vodka-red-label-70cl/101551240,101551240,Smirnoff No. 21 Vodka Red Label 70CL,Smirnoff,19.5,,False,70cl,700.0,27.86,37.5,Bottle,United States,exceptionally pure-tasting smooth spirit,InStock,"Smirnoff No. 21 - famously known as Red Label - is the world's favourite, most awarded and best-selling premium vodka. An exceptionally pure-tasting, smooth spirit with a clean palate, and the primary choice for a range of popular drinks. With countless years of heritage and unmatched quality, it is sold in over 130 countries. Founded in 1864, it gets triple distilled from a blend of different grains and filtered ten times through seven columns of charcoal for an exceptionally pure-tasting, smooth finish. Smirnoff No. 21 also makes a perfect aperitif such as the Espresso Martini - simply add 35ml Smirnoff, 25ml Espresso, 25ml coffee liquor, sugar syrup and cubed ice to a shaker and mix. Or if you prefer something more summery and refreshing, try 25ml of Smirnoff, the citrus fruit juice of your choice, soda water, ice cubes in a highball glass and garnish with citrus fruit wedges. Smirnoff is ideal for making delicious drinks at home. As such a pure and versatile liquid, it is ideal for you to experiment and create your own cocktails. There is vodka, then there’s Smirnoff.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:24Z
morrisons,vodka,https://groceries.morrisons.com/products/absolut-blue-original-swedish-vodka-1l/101535240,101535240,Absolut Blue Original Swedish Vodka 1L,Absolut,29.75,,False,1L,1000.0,29.75,40.0,Glass Bottle,Sweden,"rich, full bodied",InStock,"Absolut Vodka is one of the most famous vodkas in the world. It is a Swedish vodka made exclusively from natural ingredients, with no added sugar and produced with water and winter wheat grown in the fields of Åhus, Sweden. Absolut is rich, full bodied and blends beautifully with other aromas, enhancing the taste of your drinks and cocktails.<br><br>Serving suggestion: simply pour over ice, add soda or lemonade, and garnish with lime - or use in any of your favourite vodka cocktails.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:26Z
morrisons,vodka,https://groceries.morrisons.com/products/glen-s-vodka-litre-37-5/101557748,101557748,Glen's Vodka Litre 37.5%,Glen's,18.5,,False,1L,1000.0,18.5,37.5,Glass Bottle,Scotland,smooth tasting,InStock,"Looking for a triple distilled, smooth tasting vodka? Look no further. Our legendary red bottles have been proudly produced and bottled in Scotland for over 20 years, ensuring a stamp of quality and sprinkling of patter comes with every last drop. No frills, no fuss, just a quality vodka. Original and best (shh, don't tell the others)","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:26Z
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-red-label-vodka/101547582,101547582,Smirnoff  Red Label Vodka,Smirnoff,11.5,,False,35cl,350.0,32.86,37.5,Bottle,United Kingdom,exceptionally pure-tasting smooth spirit,InStock,"Smirnoff No. 21 - famously known as Red Label - is the world's favourite, most awarded and best-selling premium vodka. An exceptionally pure-tasting, smooth spirit with a clean palate, and the primary choice for a range of popular drinks. With countless years of heritage and unmatched quality, it is sold in over 130 countries. Founded in 1864, it gets triple distilled from a blend of different grains and filtered ten times through seven columns of charcoal for an exceptionally pure-tasting, smooth finish. Smirnoff No. 21 also makes a perfect aperitif such as the Espresso Martini - simply add 35ml Smirnoff, 25ml Espresso, 25ml coffee liquor, sugar syrup and cubed ice to a shaker and mix. Or if you prefer something more summery and refreshing, try 25ml of Smirnoff, the citrus fruit juice of your choice, soda water, ice cubes in a highball glass and garnish with citrus fruit wedges. Smirnoff is ideal for making delicious drinks at home. As such a pure and versatile liquid, it is ideal for you to experiment and create your own cocktails. There is vodka, then there’s Smirnoff.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:28Z
morrisons,vodka,https://groceries.morrisons.com/products/morrisons-imperial-vodka/109850906,109850906,Morrisons Imperial Vodka,Morrisons,11.25,,False,50cl,500.0,22.5,37.5,Bottle,France,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:29Z
morrisons,vodka,https://groceries.morrisons.com/products/grey-goose-premium-french-vodka/102861012,102861012,Grey Goose Premium French Vodka,Grey Goose,42.5,,False,70cl,700.0,60.71,40.0,Glass Bottle,France,delicate and floral,InStock,"GREY GOOSE Vodka is a high quality, smooth spirit that combines the finest ingredients from France and delivers a delicate and floral aroma with a sweet and round palette.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:31Z
morrisons,vodka,https://groceries.morrisons.com/products/au-vodka-blue-raspberry-flavour/111914500,111914500,Au Vodka Blue Raspberry Flavour ,Au,34.0,,False,70cl,700.0,48.57,35.2,Glass Bottle,United Kingdom,blueberry raspberry,InStock,"Gold symbolising power and perfection represents the exceptional taste of our Au Blue Raspberry.<br>We have combined our award winning vodka with bursts of blueberry, raspberry and more! A unique fruit fusion creating a sweet and unique blue vodka.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:32Z
morrisons,vodka,https://groceries.morrisons.com/products/absolut-vanilia-vanilla-flavoured-swedish-vodka-70cl/112393435,112393435,Absolut Vanilia Vanilla Flavoured Swedish Vodka 70CL,Absolut,23.0,,False,70cl,700.0,32.86,38.0,Glass Bottle,,rich robust and complex,InStock,"New bottle design and optimised liquid subject to availability.<br><br>Absolut Vanilia Vodka is perfect for those with a sweet tooth or those who like to experiment with contrasting flavours. It’s made exclusively from natural ingredients, and doesn't contain any added sugar. This rich, robust and complex vodka is characterised by it’s distinct taste of vanilla, notes of butterscotch and hints of dark chocolate. It can be enjoyed neat, on the rocks or added to a wide selection of drinks and cocktails to enhance the taste. <br><br>Serving suggestion: simply pour over ice, add cola and garnish with lime, or use it in any of your favourite vodka cocktails.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:32Z
morrisons,vodka,https://groceries.morrisons.com/products/nemiroff-de-luxe-vodka/114207253,114207253,Nemiroff De Luxe Vodka ,Nemiroff,28.0,,False,1L,1000.0,28.0,40.0,Glass Bottle,Ukraine,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:34Z
